01,01,03,05,07,08,10,11,13,14,15,18,20,22,24,25
02,01,03,05,10,11,12,13,14,15,18,20,22,23,24,25
03,01,02,03,05,07,10,11,14,15,17,18,20,23,24,25
04,01,03,05,07,10,11,13,14,15,18,20,22,23,24,25
05,01,02,03,05,07,10,11,14,15,18,20,21,23,24,25
06,01,02,03,04,05,10,11,13,14,15,19,20,23,24,25
07,01,03,05,07,08,10,11,13,14,15,20,22,23,24,25
08,01,02,03,04,05,09,10,11,14,15,19,20,23,24,25
09,03,05,07,08,10,11,13,14,15,17,18,20,22,24,25
10,01,03,05,07,10,11,12,13,14,15,18,20,22,24,25
11,01,02,03,05,10,11,13,14,15,18,19,20,22,24,25
12,01,02,03,05,07,08,10,11,13,17,18,20,23,24,25
13,02,03,05,07,08,10,11,13,14,15,18,20,22,24,25
14,01,03,05,10,11,13,14,15,17,18,20,22,23,24,25
15,01,02,03,05,09,10,11,12,14,15,19,20,23,24,25
16,01,02,03,05,07,09,10,11,13,14,15,19,20,23,25
17,03,04,05,11,12,13,14,15,16,19,20,21,22,24,25
18,01,03,04,09,10,11,12,13,17,18,20,21,23,24,25
19,01,02,03,05,07,10,11,14,15,18,19,20,23,24,25
20,01,02,03,05,07,10,11,13,14,18,20,22,23,24,25
